label,inclination_case,heading_case,env_label,rail_vel [m/s],rail_vel OK,stab_init [cal],stab_min [cal],stab_max [cal],stab_min OK,stab_pad_max OK,stab_flt_max OK,PASS
max_elev_86deg__North__ERA5_2024_0619_15Z,max_elev_86deg,North,ERA5_2024_0619_15Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__North__ERA5_2024_0619_18Z,max_elev_86deg,North,ERA5_2024_0619_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2022_0616_15Z,max_elev_86deg,East,ERA5_2022_0616_15Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2022_0616_18Z,max_elev_86deg,East,ERA5_2022_0616_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2022_0619_15Z,max_elev_86deg,East,ERA5_2022_0619_15Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2022_0619_18Z,max_elev_86deg,East,ERA5_2022_0619_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2023_0616_15Z,max_elev_86deg,East,ERA5_2023_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2023_0616_18Z,max_elev_86deg,East,ERA5_2023_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2023_0619_15Z,max_elev_86deg,East,ERA5_2023_0619_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2023_0619_18Z,max_elev_86deg,East,ERA5_2023_0619_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2024_0616_15Z,max_elev_86deg,East,ERA5_2024_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2024_0616_18Z,max_elev_86deg,East,ERA5_2024_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2024_0619_15Z,max_elev_86deg,East,ERA5_2024_0619_15Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__East__ERA5_2024_0619_18Z,max_elev_86deg,East,ERA5_2024_0619_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2022_0616_15Z,max_elev_86deg,South,ERA5_2022_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2022_0616_18Z,max_elev_86deg,South,ERA5_2022_0616_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2022_0619_15Z,max_elev_86deg,South,ERA5_2022_0619_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2022_0619_18Z,max_elev_86deg,South,ERA5_2022_0619_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2023_0616_15Z,max_elev_86deg,South,ERA5_2023_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2023_0616_18Z,max_elev_86deg,South,ERA5_2023_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2023_0619_15Z,max_elev_86deg,South,ERA5_2023_0619_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2023_0619_18Z,max_elev_86deg,South,ERA5_2023_0619_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2024_0616_15Z,max_elev_86deg,South,ERA5_2024_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2024_0616_18Z,max_elev_86deg,South,ERA5_2024_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2024_0619_15Z,max_elev_86deg,South,ERA5_2024_0619_15Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__South__ERA5_2024_0619_18Z,max_elev_86deg,South,ERA5_2024_0619_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2022_0616_15Z,max_elev_86deg,West,ERA5_2022_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2022_0616_18Z,max_elev_86deg,West,ERA5_2022_0616_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2022_0619_15Z,max_elev_86deg,West,ERA5_2022_0619_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2022_0619_18Z,max_elev_86deg,West,ERA5_2022_0619_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2023_0616_15Z,max_elev_86deg,West,ERA5_2023_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2023_0616_18Z,max_elev_86deg,West,ERA5_2023_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2023_0619_15Z,max_elev_86deg,West,ERA5_2023_0619_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2023_0619_18Z,max_elev_86deg,West,ERA5_2023_0619_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2024_0616_15Z,max_elev_86deg,West,ERA5_2024_0616_15Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2024_0616_18Z,max_elev_86deg,West,ERA5_2024_0616_18Z,29.17,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2024_0619_15Z,max_elev_86deg,West,ERA5_2024_0619_15Z,29.16,True,2.942,2.942,4.206,True,True,True,True
max_elev_86deg__West__ERA5_2024_0619_18Z,max_elev_86deg,West,ERA5_2024_0619_18Z,29.16,True,2.942,2.942,4.206,True,True,True,True
