Mach,Cd_power_on,Cd_power_off
0.391,0.551,0.551
0.393,0.551,0.551
0.395,0.551,0.551
0.397,0.551,0.551
0.399,0.552,0.552
0.4,0.552,0.552
0.401,0.552,0.552
0.403,0.552,0.552
0.404,0.552,0.552
0.406,0.553,0.553
0.408,0.553,0.553
0.41,0.553,0.553
0.412,0.553,0.553
0.414,0.554,0.554
0.416,0.554,0.554
0.418,0.554,0.554
0.42,0.554,0.554
0.421,0.555,0.555
0.423,0.555,0.555
0.425,0.555,0.555
0.427,0.555,0.555
0.429,0.556,0.556
0.431,0.556,0.556
0.433,0.556,0.556
0.435,0.556,0.556
0.437,0.557,0.557
0.438,0.557,0.557
0.439,0.557,0.557
0.441,0.557,0.557
0.443,0.557,0.557
0.445,0.558,0.558
0.447,0.558,0.558
0.449,0.558,0.558
0.45,0.558,0.558
0.451,0.558,0.558
0.453,0.559,0.559
0.455,0.559,0.559
0.456,0.559,0.559
0.457,0.559,0.559
0.459,0.56,0.56
0.461,0.56,0.56
0.463,0.56,0.56
0.464,0.56,0.56
0.465,0.56,0.56
0.467,0.561,0.561
0.469,0.561,0.561
0.471,0.561,0.561
0.473,0.562,0.562
0.475,0.562,0.562
0.476,0.562,0.562
0.477,0.562,0.562
0.48,0.563,0.563
0.482,0.563,0.563
0.484,0.563,0.563
0.486,0.564,0.564
0.488,0.564,0.564
0.489,0.564,0.564
0.49,0.564,0.564
0.492,0.564,0.564
0.494,0.565,0.565
0.496,0.565,0.565
0.499,0.565,0.565
0.501,0.566,0.566
0.503,0.566,0.566
0.505,0.566,0.566
0.507,0.567,0.567
0.509,0.567,0.567
0.512,0.567,0.567
0.514,0.568,0.568
0.516,0.568,0.568
0.518,0.569,0.569
0.521,0.569,0.569
0.523,0.569,0.569
0.525,0.57,0.57
0.526,0.57,0.57
0.527,0.57,0.57
0.53,0.57,0.57
0.532,0.571,0.571
0.534,0.571,0.571
0.536,0.571,0.571
0.539,0.572,0.572
0.541,0.572,0.572
0.543,0.573,0.573
0.546,0.573,0.573
0.548,0.573,0.573
0.55,0.574,0.574
0.553,0.574,0.574
0.554,0.574,0.574
0.555,0.575,0.575
0.557,0.575,0.575
0.56,0.575,0.575
0.562,0.576,0.576
0.565,0.576,0.576
0.566,0.577,0.577
0.567,0.577,0.577
0.569,0.577,0.577
0.572,0.578,0.578
0.574,0.578,0.578
0.577,0.578,0.578
0.578,0.579,0.579
0.579,0.579,0.579
0.582,0.579,0.579
0.584,0.58,0.58
0.586,0.58,0.58
0.587,0.58,0.58
0.589,0.581,0.581
0.592,0.581,0.581
0.594,0.582,0.582
0.597,0.582,0.582
0.599,0.582,0.582
0.602,0.583,0.583
0.604,0.583,0.583
0.607,0.584,0.584
0.609,0.584,0.584
0.612,0.585,0.585
0.615,0.585,0.585
0.617,0.586,0.586
0.62,0.586,0.586
0.621,0.587,0.587
0.623,0.587,0.587
0.625,0.587,0.587
0.628,0.588,0.588
0.631,0.588,0.588
0.632,0.589,0.589
0.633,0.589,0.589
0.636,0.59,0.59
0.637,0.59,0.59
0.639,0.59,0.59
0.642,0.591,0.591
0.643,0.591,0.591
0.644,0.591,0.591
0.647,0.592,0.592
0.65,0.592,0.592
0.653,0.593,0.593
0.656,0.593,0.593
0.658,0.594,0.594
0.661,0.595,0.595
0.664,0.595,0.595
0.667,0.596,0.596
0.67,0.596,0.596
0.673,0.597,0.597
0.675,0.597,0.597
0.676,0.598,0.598
0.679,0.598,0.598
0.682,0.599,0.599
0.685,0.599,0.599
0.686,0.6,0.6
0.688,0.6,0.6
0.691,0.601,0.601
0.694,0.601,0.601
0.697,0.602,0.602
0.7,0.603,0.603
0.703,0.603,0.603
0.706,0.604,0.604
0.708,0.605,0.605
0.709,0.605,0.605
0.712,0.605,0.605
0.716,0.606,0.606
0.719,0.607,0.607
0.722,0.608,0.608
0.725,0.608,0.608
0.728,0.609,0.609
0.73,0.609,0.609
0.732,0.61,0.61
0.735,0.61,0.61
0.738,0.611,0.611
0.74,0.612,0.612
0.742,0.612,0.612
0.745,0.613,0.613
0.748,0.614,0.614
0.75,0.614,0.614
0.752,0.614,0.614
0.755,0.615,0.615
0.759,0.616,0.616
0.76,0.616,0.616
0.762,0.617,0.617
0.766,0.618,0.618
0.769,0.618,0.618
0.77,0.619,0.619
0.773,0.619,0.619
0.776,0.62,0.62
0.78,0.621,0.621
0.781,0.621,0.621
0.783,0.622,0.622
0.784,0.622,0.622
0.787,0.623,0.623
0.789,0.623,0.623
0.791,0.624,0.624
0.794,0.625,0.625
0.795,0.625,0.625
0.798,0.626,0.626
0.802,0.626,0.626
0.804,0.627,0.627
0.806,0.627,0.627
0.81,0.628,0.628
0.813,0.629,0.629
0.817,0.63,0.63
0.821,0.631,0.631
0.822,0.632,0.632
0.825,0.632,0.632
0.829,0.633,0.633
0.831,0.634,0.634
0.833,0.634,0.634
0.835,0.635,0.635
0.837,0.635,0.635
0.841,0.637,0.637
0.842,0.637,0.637
0.845,0.638,0.638
0.85,0.639,0.639
0.854,0.64,0.64
0.858,0.641,0.641
0.862,0.642,0.642
0.866,0.643,0.643
0.867,0.643,0.643
0.871,0.644,0.644
0.874,0.645,0.645
0.875,0.646,0.646
0.88,0.647,0.647
0.881,0.647,0.647
0.884,0.648,0.648
0.889,0.649,0.649
0.889,0.65,0.65
0.89,0.65,0.65
0.891,0.65,0.65
0.892,0.65,0.65
0.893,0.651,0.651
0.894,0.651,0.651
0.898,0.652,0.652
0.902,0.653,0.653
0.904,0.654,0.654
0.906,0.654,0.654
0.909,0.655,0.655
0.91,0.655,0.655
0.911,0.655,0.655
0.913,0.656,0.656
0.915,0.656,0.656
0.917,0.657,0.657
0.918,0.657,0.657
